name,city
Abhay Textiles (Delhi),Delhi
ABHISHEK HOSIERY & GENERAL STORE (Pirawa),Rajasthan
ABNASHI DASS HANS RAJ (AMBALA CITY),Haryana
Acron Incorporation,Delhi
Adarsh Agency (Dholpur),Rajasthan
Adarsh Hosiery (Karnal),Haryana
AGARWAL HOSIERY(MEERUT),Uttar Pradesh
AGGARWAL AGENCIES,Delhi
AGGARWAL DRESSES GN,Delhi
"AGGARWAL HOSIERY (Avantika, Delhi)",Delhi
AGGARWAL HOSIERY CENTRE,Delhi
AGGARWAL READYMADE GARMENTS (C/O TARUN KUMAR),Delhi
AGGARWAL SALES AGENCIES (Sirsa),Haryana
Aggarwal Trading Co. (Gandhi Nagar),Delhi
AJAY GARMENTS  (D),Delhi
AJAY HOSIERY (Karnal),Haryana
AKBAR GARMENTS (Moradabad),Uttar Pradesh
AKBAR HANDLOOM STORE (Moradabad),Uttar Pradesh
A.K. HOSIERY STORE (Ambala),Haryana
ALIGARH LOCK HOUSE (Haldwani),Uttarakhand
AMABEY HOSIERY AGENCY (Sriganganagar),Rajasthan
A.M. AGENCIES (Jalandhar),Punjab
AMAN HOSIERY (Rewari),Haryana
AMAN TRADERS (Ludhiana),Punjab
Amar Das,Uttar Pradesh
AMAR GARMENTS   (D),Delhi
AMAR HOSIERY,Delhi
AMBEY ENTERPRISES,Delhi
AMBEY SALES CORPORATION (Balotra),Rajasthan
AMBICA TRADERS (SHIMLA),Himachal Pradesh
AMRIT CLOTH HOUSE,Delhi
ANAHAD RUMAL AGENCIES,Delhi
Anas Trading Co. (Bareilly),Uttar Pradesh
Anees Hosiery (Amroha),Uttar Pradesh
ANIL AGGARWAL & CO.,Delhi
ANIL GARMENTS (Gurugram),Haryana
ANIL TRADING COMPANY (Bhiwani),Haryana
ANMOL TRADERS (Ludhiana),Punjab
ANU AGENCY,Delhi
ANUJ FASHION,Delhi
ANURAG SALES,Delhi
ARADHANA GARMENTS,Delhi
ARBUDA GARMENTS (Sirohi),Rajasthan
ARIF (Bisalpur),Uttar Pradesh
ARIHANT GARMENTS (Ambala Cantt.),Haryana
ARORA BROTHERS (Jalandhar),Punjab
ARORA ENTERPRISE (Phagwara),Punjab
ARORA GENERAL STORE (Jalandhar),Punjab
ARORA HOSIERY (BAREILLY),Uttar Pradesh
Arora Hosiery (Moti Nagar),Delhi
ARORA HOSIERY (Panipat),Haryana
ARVIND GARMENTS (Baraut),Uttar Pradesh
ASHOKA BANGLE STORE (Bhatinda),Punjab
ASHOK KUMAR RAMESH KUMAR (Sirohi),Rajasthan
ASHOK TRADERS (Farrukhabad),Uttar Pradesh
ASHU HOSIERY (Fatehabad),Haryana
ASIAN HOSIERY,Delhi
ASIJA GENERAL STORE (Hisar),Haryana
ASLAM HOSIERY,Delhi
ASPAK AHMED (Bisalpur),Uttar Pradesh
Atul Clothes Hosiery (Ballabgarh),Haryana
AVNI TRADING CO. (Ram Nagar),Uttar Pradesh
AYUSH TRADERS (Ram Nagar),Uttar Pradesh
AYUSH TRADING CO.,Haryana
AZEEM HANDLOOM (Moradabad),Uttar Pradesh
BABA GARMENTS (Farrukhabad),Uttar Pradesh
Baba Garments (Wazirpur),Delhi
BABA HOSIERY (Shahjahanpur),Uttar Pradesh
BABA STORES (D),Delhi
Babu Ready Made Store,Uttar Pradesh
BABU TRADING CO. (Bareilly),Uttar Pradesh
BAJAJ  EMPORIUM,Delhi
BAJAJ HOSIERY,Delhi
BAJRANG HOSIERY (Jind),Haryana
Bajrang Lal Deepak Kumar (Narnaul),Haryana
BAKSHI HOSIERY,Delhi
Balaji Bag House,Delhi
Balaji Hosiery (Sirsa),Haryana
BALAJI TRADERS (Faridabad),Haryana
BALJEET SINGH (KAITHAL),Haryana
BALWANT GENERAL STORE,Delhi
BANARASI DASS ASHOK KUMAR (Amritsar),Punjab
BANSAL BASERA,Uttar Pradesh
BARKATI HOSIERY (Bisalpur),Uttar Pradesh
BASANT HOISERY STORE,Maharashtra
Baweja Textiles (Azadpur),Delhi
BEDI TRADERS (Purkaji),Uttar Pradesh
BEE KAY BROTHERS (Ludhiana),Punjab
Bee Kay Traders (Sadar Bazar),Delhi
B.G. Garments (Sonia Vihar),Delhi
BHADORIA COLLLECTION,Delhi
BHAGWAN SINGH BURA MAL,Delhi
Bhagwati Fancy Garments (R),Delhi
BHAGWATI TRADERS (Dhuri Punjab),Punjab
"Bhakti Enterprises, Busyland",Maharashtra
Bhandari Fabrics (Gandhi Nagar),Delhi
BHARAT BHUSHAN (Panipat),Haryana
BHARAT CLOTH HOUSE,Delhi
BHARAT  ENTERPRISE (Kota),Rajasthan
BHARO GENERAL STORE (Sriganganagar),Rajasthan
BHATIA HOSIERY (Hoshiarpur),Punjab
BHATIAN DI HATTI (Amritsar),Punjab
BHATIA TRADERS (Sitapur),Uttar Pradesh
BHAWANI GARMENTS ( OPP.CHACHA GARMENTS),Delhi
BHAWESH ENTERPRISE (Bojoriya),Rajasthan
BHURA LAL KISHAN LAL,Delhi
BINDAL GARMENTS (D),Delhi
BINDAL HOSIERY (Hanumangarh),Rajasthan
BISHANDAS CLOTH HOUSE,Delhi
BKS TRADERS (R),Delhi
Bldk,Haryana
BLISS GARMENTS,Delhi
B.L. SINGHANIA & SONS (Jaunpur),Uttar Pradesh
BOBBY FASHION (KALYAN PURI) (D),Delhi
BOMBAY HOSIERY HOUSE (Ajmer),Rajasthan
CALCUTTA CLOTH HOUSE (D),Delhi
Chacha Garments (R),Delhi
CHAMAN HOSIERY (Shahjahanpur),Uttar Pradesh
CHANDA HOSIERY STORES (Chandpur),Uttar Pradesh
CHANDA PRABHU HOSIERY,Delhi
CHANDARKANT SHASTRI JI,Delhi
Chand Collection (FARRUKHABAD),Uttar Pradesh
CHAND HOSIERY (Etawah),Uttar Pradesh
CHANDRESH HANDLOOM STORE (Mirzapur),Uttar Pradesh
CHEAP BANIAN HOUSE (Jalandhar),Punjab
CHET RAM & SONS,Delhi
CHHAJU RAM PAWAN KUMAR (Charkhi Dadri),Haryana
CHHAYA GARMENTS,Delhi
CHITTOR AGENCIES (Chittorgarh),Rajasthan
CHOPRA HOSIERY (Ambala City),Haryana
DALMIA HOSIERY (Hisar),Haryana
Darshika The Hosiery Store,Rajasthan
Dayal Dass Girdhari Lal (Sadar Bazar),Delhi
DAYA RAM & SONS,Delhi
DCM 2000 (D),Delhi
Debnath Cloth House (PREM NAGAR),Delhi
Deepak Traders (Kotdwar),Uttarakhand
Deep Shikha Garments,Delhi
DEEPU HOSIERY,Delhi
DEE VEE SALES,Delhi
DELHI TRADING CO. (Sirsa),Haryana
DELUX GARMENTS,Delhi
DESH RAJ BAKHTAWAR LAL (Saharanpur),Uttar Pradesh
DEVI SAHAI & CO. (Rewari),Haryana
DHARAM CHAND JAIN (MANAK JI),Delhi
DHARAM CHAND JAIN & SONS,Delhi
DHRUVH IMPEX,Delhi
DIVYA GARMENTS (SONIA VIHAR),Delhi
Divya Hosiery (Panipat),Haryana
D.N. Agencies (Sirsa),Haryana
DUA AGENCY,Uttar Pradesh
DURGESH FASHION POINT (D),Delhi
DWITI HOSIERY,Haryana
EKTA HOSIERY (Gwalior),Madhya Pradesh
FABRIC FORD,Delhi
FANCY HOSIERY (Bareilly),Uttar Pradesh
FANCY VASTRA BHANDAR,Delhi
FAQUIR  CHAND  SAHNI  &  SONS,Delhi
FASHION CAMP & COMPANY (Sirsa),Haryana
Fazaluddin & Sons (Sadar Bazar),Delhi
GABA GARMENTS,Delhi
GAGAN GARMENTS (Karauli),Rajasthan
Ganesh Hosiery (Jalandhar),Punjab
GANPATI TEXTILES (Kakroli),Rajasthan
GARG CLOTH HOUSE,Delhi
Garg Collections (Nangloi),Delhi
Garg Enterprises (Chandpur),Uttar Pradesh
GARG ENTERPRISES (SHAMLI),Uttar Pradesh
GARG HOSIERY,Delhi
Garg Hosiery (New),Delhi
GARG SYNTHETICS (Gorakhpur),Uttar Pradesh
GARHWAL GENERAL HOUSE (Rishikesh),Uttarakhand
GAURAV HOSIERY HOUSE (Bhatinda),Punjab
GAURAV TRADERS,Delhi
Gaur Creations (Gandhi Nagar),Delhi
GAURI SHANKAR GUPTA,Delhi
GAUTAM TRADERS (Jodhpur),Rajasthan
GAUTAM TRADING COMPANY (Dehradun),Uttarakhand
GAYATRI AGENCIES (Bayana),Rajasthan
GERA TRADING CO. (Baran),Rajasthan
GINNI UNDERGARMENTS,Delhi
GIRDHARI HOSIERY,Delhi
GIRDHARI LAL &SONS (Amritsar),Punjab
Girdher Emporium,Delhi
G.K. ENTERPRISES (D),Delhi
GOEL ENTERPRISES (Roorkee),Uttarakhand
GOLDEN FANCY HATTI (GURDASPUR),Punjab
GOLDEN HOSIERY (Bareilly),Uttar Pradesh
GOLDEN HOSIERY (FRK),Uttar Pradesh
Gold Garments (Amroha),Uttar Pradesh
GOLDY DESIRE GARMENTS (Sriganaganagar),Rajasthan
GOPAL HOSIERY,Delhi
Gopal Traders (Karnal),Haryana
GOPTA TRADING COMPANY (Palampur),Uttarakhand
GORAV AGENCY (Ratangarh),Rajasthan
GOSWAMI GARMENTS (Bhawani Mandi),Rajasthan
GOURAV BOOK STORE (C/O MOHAN SINGH BANDHAN),Delhi
Goyal Garments Hissar,Haryana
Goyal Garments (Sonia Vihar) (D),Delhi
GOYAL HOSIERY (Bareilly),Uttar Pradesh
GOYAL HOSIERY (DELHI),Delhi
GOYAL & SONS CLOTH HOUSE,Delhi
GOYAL TRADERS (Dhampur),Uttar Pradesh
GULATI HOSIERY,Delhi
"Gulati store
(d)",Delhi
GULSHAN SALES (Baran),Rajasthan
GULZARI LAL & SONS,Delhi
GUPTA AGENCIES (Sonepat),Haryana
GUPTA EMPORIUM (Hodal),Haryana
GUPTA GARMENTS (C/O BRAJ GOPAL),Delhi
GUPTA  G TRADING (D),Delhi
GUPTA HOSIERY (Hanumangarh),Rajasthan
GUPTA HOSIERY (Sonepat),Haryana
Gupta Hosiery Store (Uttam Nagar),Delhi
GUPTA & SONS,Delhi
GUPTA TRADERS (Abu Road),Rajasthan
Guru Kirpa Traders (Delhi),Delhi
